framework,suite,test,time_ms
"x-reactivity","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","329.8929"
"x-reactivity","dynamic","1000x12 - 4 sources - dynamic (large web app)","438.1634"
"x-reactivity","dynamic","1000x5 - 25 sources (wide dense)","651.6175"
"x-reactivity","dynamic","5x500 - 3 sources (deep)","205.9343"
"x-reactivity","cellx","cellx10","0.0915"
"x-reactivity","cellx","cellx20","0.1219"
"x-reactivity","cellx","cellx30","0.0588"
"Preact Signals","kairo","avoidablePropagation","78.3734"
"Preact Signals","kairo","broadPropagation","151.7576"
"Preact Signals","kairo","deepPropagation","75.8792"
"Preact Signals","kairo","diamond","115.7412"
"Preact Signals","kairo","mux","200.5003"
"Preact Signals","kairo","repeatedObservers","11.917"
"Preact Signals","kairo","triangle","47.1221"
"Preact Signals","kairo","unstable","26.2878"
"Preact Signals","mol","molBench","335.1988"
"Preact Signals","s","createDataSignals","4.9661"
"Preact Signals","s","createComputations0to1","4.3125"
"Preact Signals","s","createComputations1to1","17.5902"
"Preact Signals","s","createComputations2to1","10.0017"
"Preact Signals","s","createComputations4to1","5.377"
"Preact Signals","s","createComputations1000to1","5.5536"
"Preact Signals","s","createComputations1to2","9.646"
"Preact Signals","s","createComputations1to4","7.743"
"Preact Signals","s","createComputations1to8","7.9352"
"Preact Signals","s","createComputations1to1000","8.218"
"Preact Signals","s","updateComputations1to1","16.5106"
"Preact Signals","s","updateComputations2to1","11.4144"
"Preact Signals","s","updateComputations4to1","7.3496"
"Preact Signals","s","updateComputations1000to1","4.3562"
"Preact Signals","s","updateComputations1to2","12.1439"
"Preact Signals","s","updateComputations1to4","10.9111"
"Preact Signals","s","updateComputations1to1000","9.1882"
"Preact Signals","dynamic","10x5 - 2 sources - read 20% (simple component)","183.1701"
"Preact Signals","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","163.4736"
"Preact Signals","dynamic","1000x12 - 4 sources - dynamic (large web app)","266.2045"
"Preact Signals","dynamic","1000x5 - 25 sources (wide dense)","441.5872"
"Preact Signals","dynamic","5x500 - 3 sources (deep)","126.7373"
"Preact Signals","cellx","cellx10","0.044"
"Preact Signals","cellx","cellx20","0.0334"
"Preact Signals","cellx","cellx30","0.025"
"TC39 Signals Polyfill","kairo","avoidablePropagation","249.8006"
"TC39 Signals Polyfill","kairo","broadPropagation","889.3076"
"TC39 Signals Polyfill","kairo","deepPropagation","241.2382"
"TC39 Signals Polyfill","kairo","diamond","415.9231"
"TC39 Signals Polyfill","kairo","mux","653.3532"
"TC39 Signals Polyfill","kairo","repeatedObservers","132.7613"
"TC39 Signals Polyfill","kairo","triangle","177.4995"
"TC39 Signals Polyfill","kairo","unstable","469.0222"
"TC39 Signals Polyfill","mol","molBench","363.6194"
"TC39 Signals Polyfill","s","createDataSignals","12.6539"
"TC39 Signals Polyfill","s","createComputations0to1","20.2863"
"TC39 Signals Polyfill","s","createComputations1to1","43.5958"
"TC39 Signals Polyfill","s","createComputations2to1","24.7584"
"TC39 Signals Polyfill","s","createComputations4to1","19.1532"
"TC39 Signals Polyfill","s","createComputations1000to1","14.1655"
"TC39 Signals Polyfill","s","createComputations1to2","33.3719"
"TC39 Signals Polyfill","s","createComputations1to4","30.6155"
"TC39 Signals Polyfill","s","createComputations1to8","27.9576"
"TC39 Signals Polyfill","s","createComputations1to1000","23.2852"
"TC39 Signals Polyfill","s","updateComputations1to1","37.6069"
"TC39 Signals Polyfill","s","updateComputations2to1","25.8878"
"TC39 Signals Polyfill","s","updateComputations4to1","16.1363"
"TC39 Signals Polyfill","s","updateComputations1000to1","7.7542"
"TC39 Signals Polyfill","s","updateComputations1to2","33.3741"
"TC39 Signals Polyfill","s","updateComputations1to4","27.1378"
"TC39 Signals Polyfill","s","updateComputations1to1000","25.2277"
"TC39 Signals Polyfill","dynamic","10x5 - 2 sources - read 20% (simple component)","1273.473"
